Client Number	Status	Age	Gender	Dependent	Education	Marital_Status	Income Level	Card Category	Monthly Transaction	Total_Relationship_Count	Months Inactive 12M	Contacts Count 12M	Credit Limit	Total Revolving Bal	Total Open To Buy	Total Trans Amt	Zipcode	Tenure Year
717972408	Existing Customer	44	M	2	Uneducated	Married	$80K - $120K	Blue	34	6	3	3	2558	2016	542	3792	62203	1
717975333	Existing Customer	50	M	2	Doctorate	Married	$80K - $120K	Blue	38	6	2	2	25300	1330	23970	837	62201	8
717978033	Existing Customer	36	F	1	High School	Single	Less than $40K	Blue	36	5	3	4	5257	1572	3685	2822	62994	2
717979008	Existing Customer	48	F	3	Unknown	Single	Less than $40K	Blue	37	2	2	1	2105	1072	1033	4833	62667	9
717983058	Existing Customer	41	F	3	Graduate	Married	$40K - $60K	Blue	29	5	1	3	1982	1068	914	3058	62666	4
717985158	Existing Customer	47	M	2	Graduate	Unknown	$40K - $60K	Blue	37	3	3	1	2335	1373	962	4267	62361	9
717986058	Existing Customer	29	F	0	High School	Single	Less than $40K	Blue	13	6	3	5	5240	1608	3632	2712	62905	9
717987258	Existing Customer	43	F	3	Unknown	Single	$40K - $60K	Blue	36	5	2	4	2594	1686	908	4503	62906	5
717990183	Existing Customer	52	M	4	Uneducated	Married	$80K - $120K	Blue	36	5	2	2	7474	2444	5030	5100	62907	0
717991533	Existing Customer	44	M	2	Uneducated	Married	$40K - $60K	Blue	36	3	3	2	3843	1460	2383	16461	62901	2
717992433	Existing Customer	50	M	4	Graduate	Married	$80K - $120K	Blue	39	3	1	2	11900	1796	10104	14666	62902	0
717994608	Existing Customer	51	M	0	Graduate	Married	$80K - $120K	Blue	40	4	3	2	7158	0	7158	2113	62903	5
717995958	Existing Customer	47	F	3	Unknown	Married	Unknown	Blue	38	5	1	4	1634	1463	171	4397	62908	7
717998058	Existing Customer	26	M	0	Graduate	Single	Less than $40K	Blue	13	6	3	2	2585	2019	566	2644	62909	8
717999183	Existing Customer	36	M	3	High School	Married	$60K - $80K	Blue	36	6	3	3	4108	1659	2449	2275	62016	9
718000383	Existing Customer	60	F	1	Graduate	Single	Unknown	Blue	51	3	3	4	23566	1147	22419	4274	62017	9
718001508	Existing Customer	41	F	3	Graduate	Married	Less than $40K	Blue	29	1	1	2	2890	2150	740	4377	62014	5
718002633	Existing Customer	48	F	2	Graduate	Married	$40K - $60K	Silver	41	6	3	1	16002	2076	13926	3667	62015	2
718005108	Existing Customer	44	F	5	College	Married	Less than $40K	Blue	34	4	1	2	2096	1711	385	3692	62012	9
718006608	Existing Customer	44	F	5	Uneducated	Single	Less than $40K	Blue	36	1	3	1	7742	1163	6579	9081	62013	3
718009158	Existing Customer	50	F	3	Uneducated	Single	Less than $40K	Blue	41	4	2	2	2563	1860	703	3774	62010	7
718010133	Existing Customer	46	F	2	Post-Graduate	Single	Less than $40K	Blue	35	4	2	3	2888	1641	1247	3703	62011	3
718011783	Existing Customer	55	M	3	Graduate	Married	$40K - $60K	Blue	36	3	3	3	2205	1337	868	1591	62018	1
718016808	Existing Customer	62	F	0	Unknown	Married	Less than $40K	Blue	55	3	1	0	2064	1282	782	1475	62019	9
718020408	Existing Customer	60	F	1	Graduate	Married	Less than $40K	Blue	36	3	4	3	1977	545	1432	4393	61417	9
718021608	Existing Customer	45	F	3	Graduate	Married	$40K - $60K	Blue	34	4	5	2	1533	728	805	4659	61416	6
718023708	Existing Customer	53	F	2	Uneducated	Single	$40K - $60K	Blue	42	2	1	3	14839	2226	12613	14625	61415	8
718024908	Existing Customer	52	F	2	Graduate	Unknown	Less than $40K	Blue	40	2	1	3	2743	1705	1038	6993	61414	1
718025808	Existing Customer	61	M	0	High School	Divorced	$60K - $80K	Blue	51	6	3	4	5852	1935	3917	3689	61413	4
718026858	Existing Customer	52	F	2	College	Single	Less than $40K	Blue	36	3	2	2	2370	1490	880	4751	61412	1
718030083	Existing Customer	59	M	1	College	Married	$60K - $80K	Blue	36	4	1	2	7871	1687	6184	1428	61411	8
718031508	Existing Customer	45	M	4	College	Divorced	$80K - $120K	Blue	37	6	5	1	1535	0	1535	5168	61410	1
718032483	Existing Customer	33	F	4	Graduate	Married	Less than $40K	Blue	16	5	3	2	1438.3	611	827.3	4688	61419	4
718034058	Existing Customer	40	M	4	Graduate	Single	$60K - $80K	Blue	36	3	2	2	8529	901	7628	4252	61418	10
718037433	Existing Customer	58	M	1	Graduate	Married	$80K - $120K	Blue	49	6	4	2	1654	1253	401	1887	62531	3
