name,short_name,gender,birth_date,country,discipline,function,event,url
ABDELMAGID Wael,ABDELMAGID W,Male,1982-08-02,Egypt,Football,Head Coach,,../../../en/results/football/athlete-profile-n1378828-abdelmagid-wael.htm
ABE Junya,ABE J,Male,1990-07-25,Japan,Volleyball,Head Coach,,../../../en/results/volleyball/athlete-profile-n1418338-abe-junya.htm
ABE Katsuhiko,ABE K,Male,1979-09-23,Japan,Basketball,Coach,,../../../en/results/basketball/athlete-profile-n1313662-abe-katsuhiko.htm
ADAMA Cherif,ADAMA C,Male,1962-05-06,Côte d'Ivoire,Football,Head Coach,,../../../en/results/football/athlete-profile-n1323707-adama-cherif.htm
AGEBA Yuya,AGEBA Y,Male,1983-09-30,Japan,Volleyball,Head Coach,,../../../en/results/volleyball/athlete-profile-n1474027-ageba-yuya.htm
AIKMAN Siegfried Gottlieb,AIKMAN SG,Male,1959-04-28,Netherlands,Hockey,Head Coach,Men,../../../en/results/hockey/athlete-profile-n1316889-aikman-siegfried-gottlieb.htm
AL SAADI Kais,AL SAADI K,Male,1976-11-06,Germany,Hockey,Head Coach,Men,../../../en/results/hockey/athlete-profile-n1319563-al-saadi-kais.htm
ALAMEDA Lonni,ALAMEDA L,Female,1970-06-11,United States of America,Baseball/Softball,Coach,Softball,../../../en/results/baseball-softball/athlete-profile-n1426203-alameda-lonni.htm
ALEKNO Vladimir,ALEKNO V,Male,1966-12-04,Russian Federation,Volleyball,Head Coach,Men,../../../en/results/volleyball/athlete-profile-n1362880-alekno-vladimir.htm
ALEKSEEV Alexey,ALEKSEEV A,Male,1965-03-05,ROC,Handball,Coach,Women,../../../en/results/handball/athlete-profile-n1407750-alekseev-alexey.htm
ALLER CARBALLO Manuel Angel,ALLER CARBALLO MA,Male,1963-04-17,Spain,Basketball,Coach,,../../../en/results/basketball/athlete-profile-n1322498-aller-carballo-manuel-angel.htm
ALSHEHRI Saad,ALSHEHRI S,Male,1980-01-10,Saudi Arabia,Football,Head Coach,Men,../../../en/results/football/athlete-profile-n1484153-alshehri-saad.htm
ALY Kamal,ALY K,Male,1961-09-29,Egypt,Football,Head Coach,,../../../en/results/football/athlete-profile-n1378837-aly-kamal.htm
AMAYA GAITAN Fabian,AMAYA GAITAN F,Male,1984-01-17,United States of America,Basketball,Coach,,../../../en/results/basketball/athlete-profile-n1426069-amaya-gaitan-fabian.htm
AMO AGUADO Pablo,AMO AGUADO P,Male,1978-01-15,Spain,Football,Head Coach,,../../../en/results/football/athlete-profile-n1328153-amo-aguado-pablo.htm
